step,reward_decomposition/total_token_score_sum_mean,reward_decomposition/search_reward_sum_mean,reward_decomposition/answer_reward_sum_mean,reward_decomposition/invalid_search_count_mean,ppo_chain/token_level_scores_mean,ppo_chain/token_level_rewards_mean,ppo_chain/advantages_mean,actor/pg_loss,actor/ppo_kl,actor/entropy_loss,critic/vf_loss,critic/vf_explained_var,critic/kl,env/number_of_actions/mean,env/number_of_valid_search,env/finish_ratio,response_length/mean,response_length/clip_ratio,val/test_score/nq,val/test_score/hotpotqa
145,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.604,0.0,0.021,0.655,0.368,-1.25,0.133,2.0,0.0,1.0,225.0,0.5,,
146,-0.175,-0.175,0.0,0.0,-0.001,-0.001,0.394,-0.035,-0.023,0.871,0.042,-0.062,0.216,2.5,0.0,1.0,297.0,0.5,,
147,-0.775,-0.275,0.0,0.5,-0.002,-0.002,0.045,-0.189,0.006,0.66,0.13,0.017,0.194,2.5,0.0,0.5,301.5,0.5,,
148,-0.125,-0.125,0.0,0.0,-0.0,-0.0,-4.315,-0.077,0.015,1.109,0.804,0.381,0.219,2.5,0.5,0.5,379.0,0.5,,
149,0.45,-0.05,0.5,0.0,0.002,0.002,-0.701,-0.198,0.01,0.855,2.028,-0.045,0.215,2.0,0.0,1.0,206.0,0.5,,
150,-0.125,-0.125,0.5,0.0,-0.0,-0.0,-0.436,-0.409,0.003,1.346,1.331,-0.058,0.127,2.5,0.5,1.0,365.5,0.5,0.02,0.059
151,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.154,0.014,-0.013,0.724,0.35,-0.074,0.183,2.0,0.0,1.0,219.5,0.5,,
152,-0.025,-0.025,0.0,0.0,-0.0,-0.0,-2.361,-0.193,-0.005,0.814,0.029,-0.795,0.158,1.5,0.0,1.0,161.5,0.5,,
153,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.335,0.007,0.018,0.704,0.094,-0.881,0.156,2.0,0.0,1.0,230.0,0.5,,
154,-0.05,-0.05,0.0,0.0,-0.0,-0.0,1.681,-0.027,0.022,1.148,0.091,-0.788,0.094,2.0,0.0,1.0,260.5,0.5,,
155,-0.05,-0.05,0.0,0.0,-0.0,-0.0,0.115,0.019,0.026,0.822,0.021,-1.905,0.154,2.0,0.0,1.0,215.5,0.5,,
156,-0.05,-0.05,0.0,0.0,-0.0,-0.0,-0.549,0.006,0.028,0.874,0.107,-2.674,0.162,2.0,0.0,1.0,236.5,0.5,,
157,0.45,-0.05,0.5,0.0,0.001,0.001,-0.18,0.124,0.029,1.015,0.22,0.026,0.146,2.0,0.0,1.0,269.5,0.5,,
158,-0.05,-0.05,0.0,0.0,-0.0,-0.0,1.188,-0.024,0.044,0.889,0.099,-0.959,0.157,2.0,0.0,1.0,232.0,0.5,,
