step,reward_decomposition/total_token_score_sum_mean,reward_decomposition/search_reward_sum_mean,reward_decomposition/answer_reward_sum_mean,reward_decomposition/invalid_search_count_mean,reward_decomposition/search_mismatch_count_mean,reward_decomposition/malformed_action_count_mean,reward_decomposition/full_format_valid_mean,ppo_chain/token_level_scores_mean,ppo_chain/token_level_rewards_mean,ppo_chain/advantages_mean,actor/pg_loss,actor/ppo_kl,actor/entropy_loss,critic/vf_loss,critic/vf_explained_var,critic/kl,env/number_of_actions/mean,env/number_of_valid_search,env/finish_ratio,response_length/mean,response_length/clip_ratio,val/test_score/nq,val/test_score/hotpotqa
76,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.001,-0.0,-0.006,0.018,1.27,0.024,0.414,0.023,3.0,0.5,0.0,512.0,1.0,,
77,-0.8,-0.3,0.0,0.0,,,,-0.002,-0.002,0.197,-0.113,0.048,0.875,0.2,0.163,0.066,3.0,0.0,0.0,432.0,0.5,,
78,-0.75,-0.25,0.0,0.0,,,,-0.001,-0.002,0.034,-0.026,0.022,1.246,0.086,0.25,0.079,3.0,0.5,0.0,471.5,0.5,,
79,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.001,-0.273,0.061,0.021,1.408,0.039,0.505,0.071,3.0,0.5,0.0,469.0,0.5,,
80,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.003,-0.005,0.04,1.045,0.011,0.733,0.137,3.0,0.0,0.0,442.0,0.5,,
81,-0.175,-0.175,0.0,0.0,,,,-0.0,-0.0,-0.0,-0.279,0.041,0.869,0.045,-0.516,0.122,2.5,0.0,0.5,386.5,0.5,,
82,-0.8,-0.3,0.0,0.0,,,,-0.002,-0.002,0.012,-0.021,0.012,1.088,0.11,0.269,0.1,3.0,0.0,0.0,499.0,0.5,,
83,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.005,-0.002,0.02,0.996,0.003,0.771,0.083,3.0,0.0,0.0,508.0,0.5,,
84,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.0,-0.004,0.03,1.088,0.004,0.73,0.074,3.0,0.0,0.0,512.0,1.0,,
85,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.018,0.006,0.047,0.9,0.002,0.826,0.11,3.0,0.0,0.0,417.0,0.5,,
86,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.043,0.032,0.012,0.847,0.003,0.769,0.109,3.0,0.0,0.0,475.0,0.5,,
87,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.243,-0.019,0.033,0.935,0.012,0.831,0.14,3.0,0.0,0.0,472.0,0.5,,
88,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.011,-0.003,0.038,1.108,0.013,0.863,0.171,3.0,0.0,0.0,496.0,0.5,,
89,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.065,-0.004,0.028,0.862,0.005,0.836,0.111,3.0,0.0,0.0,491.0,0.5,,
90,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,-0.035,0.006,0.049,1.219,0.004,0.853,0.128,3.0,0.0,0.0,502.0,0.5,,
91,-0.25,-0.25,0.0,0.0,,,,-0.0,-0.001,0.11,0.063,0.019,1.185,0.021,0.496,0.144,3.0,0.5,0.0,473.5,0.5,,
92,-0.3,-0.3,0.0,0.0,,,,-0.001,-0.001,0.064,0.0,0.064,0.838,0.011,0.831,0.174,3.0,0.0,0.0,421.5,0.5,,
